station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
DEUA RIVER AT RIVERVIEW,Moruya,South Coast,2016-12-12 16:43:00,2016,12,summer,150.0,0.12,0.02,0.01,0.005,10.0,1.0,88.3,7.4,0,0.0,0,0,0,0,0,0.0
TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2016-12-12 17:46:00,2016,12,summer,120.0,0.16,0.03,0.01,0.005,10.0,1.1,92.7,7.6,0,0.0,0,0,0,0,0,0.0
BARNARD RIVER AT MACKAY,Manning,Lower North Coast,2016-12-13 06:25:00,2016,12,summer,160.0,0.27,0.02,0.031,0.008,10.0,1.2,70.2,7.6,1,0.0,0,0,0,0,1,0.0
BROGO RIVER AT ANGLEDALE,Bega,South Coast,2016-12-13 07:22:00,2016,12,summer,190.0,0.23,0.02,0.02,0.005,10.0,0.8,74.2,7.4,0,0.0,0,0,0,0,0,0.0
BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2016-12-13 09:25:00,2016,12,summer,160.0,0.18,0.03,0.01,0.005,10.0,2.5,107.0,8.3,0,0.0,0,0,0,0,0,0.0
KARUAH RIVER AT BOORAL,Karuah,Lower North Coast,2016-12-13 09:37:00,2016,12,summer,330.0,0.61,0.02,0.062,0.03,10.0,2.7,82.2,7.5,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT LUSKINTYRE,Hunter,Hunter,2016-12-13 11:11:00,2016,12,summer,1049.0,0.8,0.02,0.12,0.035,25.0,36.7,112.0,8.2,1,0.0,1,0,0,0,0,1.0
HUNTER RIVER AT MUSWELLBROOK,Hunter,Hunter,2016-12-13 12:20:00,2016,12,summer,630.0,0.9,0.5,0.1,20.0,33.0,26.5,88.1,7.9,2,1.0,0,1,1,0,0,0.0
HUNTER RIVER AT SINGLETON,Hunter,Hunter,2016-12-13 12:42:00,2016,12,summer,834.0,0.81,0.03,0.11,0.017,26.0,31.1,118.0,8.2,0,0.0,0,0,0,0,0,0.0
TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2016-12-13 12:57:00,2016,12,summer,210.0,0.16,0.02,0.01,0.005,10.0,1.3,92.6,7.6,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MOONAN FLAT,Hunter,Hunter,2016-12-13 14:20:00,2016,12,summer,300.0,0.24,0.03,0.063,0.26,10.0,8.4,108.0,8.3,0,0.0,0,0,0,0,0,0.0
LITTLE PLAINS RIVER AT WELLESLEY (ROWES),Snowy,South Coast,2016-12-13 14:44:00,2016,12,summer,75.0,0.23,0.02,0.022,0.005,10.0,6.8,103.0,7.8,0,0.0,0,0,0,0,0,0.0
